step:1, loss:9.776942253112793
step:2, loss:0.7894444465637207
step:3, loss:0.0010126314591616392
step:4, loss:1.2422349755070172e-05
step:5, loss:8.106223248205424e-08
step:6, loss:0.0
step:7, loss:0.0
step:8, loss:0.0
step:9, loss:0.0
step:10, loss:13.899269104003906
step:11, loss:32.944210052490234
step:12, loss:29.548608779907227
step:13, loss:24.329784393310547
step:14, loss:18.269493103027344
step:15, loss:11.897011756896973
step:16, loss:5.712407112121582
step:17, loss:1.2524628639221191
step:18, loss:0.06488129496574402
step:19, loss:0.0004722627636510879
step:20, loss:8.196408998628613e-06
step:21, loss:2.360340829454799e-07
step:22, loss:19.133005142211914
step:23, loss:25.464614868164062
step:24, loss:22.36722183227539
step:25, loss:19.986351013183594
step:26, loss:16.900129318237305
step:27, loss:13.816780090332031
step:28, loss:10.921399116516113
step:29, loss:8.421653747558594
step:30, loss:6.211322784423828
step:31, loss:3.5435564517974854
step:32, loss:1.6776022911071777
step:33, loss:0.4404222071170807
step:34, loss:8.229714393615723
step:35, loss:8.87313461303711
step:36, loss:8.229371070861816
step:37, loss:7.487250328063965
step:38, loss:6.232100963592529
step:39, loss:4.753991603851318
step:40, loss:3.5937013626098633
step:41, loss:2.042252540588379
step:42, loss:1.2527496814727783
step:43, loss:0.6658605933189392
step:44, loss:0.21468910574913025
step:45, loss:1.4097386598587036
step:46, loss:13.444628715515137
step:47, loss:12.901102066040039
step:48, loss:12.514719009399414
step:49, loss:11.903663635253906
step:50, loss:10.84475326538086
step:51, loss:9.742315292358398
step:52, loss:8.529450416564941
step:53, loss:7.45279598236084
step:54, loss:6.103594779968262
step:55, loss:5.377781867980957
step:56, loss:4.354202747344971
step:57, loss:7.528695106506348
step:58, loss:9.572294235229492
step:59, loss:9.354375839233398
step:60, loss:8.618775367736816
step:61, loss:7.209919452667236
step:62, loss:6.589734077453613
step:63, loss:6.004117965698242
step:64, loss:5.238579273223877
step:65, loss:4.802525520324707
step:66, loss:4.29817533493042
step:67, loss:3.8046622276306152
step:68, loss:3.285900831222534
step:69, loss:6.115180492401123
step:70, loss:6.600764274597168
step:71, loss:6.464461803436279
step:72, loss:6.051249980926514
step:73, loss:5.718307971954346
step:74, loss:5.3563737869262695
step:75, loss:5.117809295654297
step:76, loss:4.750842094421387
step:77, loss:4.450308322906494
step:78, loss:4.239923000335693
step:79, loss:3.900352716445923
step:80, loss:3.600022077560425
step:81, loss:7.541549205780029
step:82, loss:7.213865756988525
step:83, loss:6.972926139831543
step:84, loss:6.7557783126831055
step:85, loss:6.446685791015625
step:86, loss:6.127090930938721
step:87, loss:5.976905345916748
step:88, loss:5.605034351348877
step:89, loss:5.44761848449707
step:90, loss:4.957198619842529
step:91, loss:4.748834609985352
step:92, loss:5.004556179046631
step:93, loss:8.505256652832031
step:94, loss:7.950537204742432
step:95, loss:7.802587985992432
step:96, loss:7.436630725860596
step:97, loss:7.154324531555176
step:98, loss:6.789038181304932
step:99, loss:6.509524345397949
step:100, loss:6.172405242919922
step:101, loss:5.845522880554199
step:102, loss:5.3952107429504395
step:103, loss:4.958224296569824
step:104, loss:5.191299915313721
step:105, loss:8.223663330078125
step:106, loss:8.097488403320312
